Product code;Vendor;Language;Product name;Search words;Description;Price;Min quantity;List price;Detailed image;Advanced Import;Category;Значение_Характеристики;Значение_Характеристики;Значение_Характеристики;Features
111;Alicia White;ru;;;;2000;;1000;;;Авиа-, ж/д-, водный транспорт;;;;
111;Alicia White;ru;;;;2000;;1000;;;Авто-, мото;;;;
111;Alicia White;ru;;;;2000;;1000;;;Аксессуары и украшения;;;;
111;Alicia White;ru;;;;2000;;1000;;;Антиквариат и коллекционирование;;;;
111;Alicia White;ru;;;;2000;;1000;;;Безопасность и защита;;;;
111;Alicia White;ru;;;;2000;;1000;;;Бытовые услуги;;;;
111;Alicia White;ru;;;;2000;;1000;;;Военторг;;;;
111;Alicia White;ru;;;;2000;;1000;;;Грузовики, автобусы, спецтехника;;;;
111;Alicia White;ru;;;;2000;;1000;;;Деловые услуги;;;;
111;Alicia White;ru;;;;2000;;1000;;;Дом и сад;;;;
111;Alicia White;ru;;;;2000;;1000;;;Домашние животные и зоотовары;;;;
111;Alicia White;ru;;;;2000;;1000;;;Защита окружающей среды;;;;
111;Alicia White;ru;;;;2000;;1000;;;Изделия из металла, пластика, резины;;;;
111;Alicia White;ru;;;;2000;;1000;;;Инженерно-строительные услуги;;;;
111;Alicia White;ru;;;;2000;;1000;;;Инструмент;;;;
111;Alicia White;ru;;;;2000;;1000;;;Информационно-коммуникационные услуги;;;;
111;Alicia White;ru;;;;2000;;1000;;;Канцтовары;;;;
111;Alicia White;ru;;;;2000;;1000;;;Коммунальные услуги;;;;
111;Alicia White;ru;;;;2000;;1000;;;Контрольно-измерительные приборы;;;;
111;Alicia White;ru;;;;2000;;1000;;;Красота и здоровье;;;;
111;Alicia White;ru;;;;2000;;1000;;;Логистические и складские услуги;;;;
111;Alicia White;ru;;;;2000;;1000;;;Материалы для ремонта;;;;
111;Alicia White;ru;;;;2000;;1000;;;Медицина;;;;
111;Alicia White;ru;;;;2000;;1000;;;Недвижимость;;;;
111;Alicia White;ru;;;;2000;;1000;;;Неликвидные запасы (стоки);;;;
111;Alicia White;ru;;;;2000;;1000;;;Оборудование и товары для предоставления услуг;;;;
